Crop_Name,Category,Avg_Harvest_Days,Market_Demand,Home_Growable,Health_Benefit,Intercropping_Possibility
Potato,Vegetable,101,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cabbage,Vegetable,92,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Rice,Grain,103,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Blueberry,Fruit,217,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cocoa,Cash/Plantation,392,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Sapota,Fruit,309,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cowpea,Pulse,109,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Hybrid Ginger,Spice,206,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Soybean,Oilseed,130,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Ginger,Spice,191,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Dwarf Blueberry,Fruit,178,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Local Papaya,Fruit,249,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Maize,Grain,100,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant French Bean,Vegetable,88,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Snake Gourd,Vegetable,86,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Coconut,Fruit,105,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cotton,Cash/Plantation,385,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Okra,Vegetable,56,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Onion,Vegetable,90,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Capsicum,Vegetable,64,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Ginger,Spice,172,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cotton,Cash/Plantation,464,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cabbage,Vegetable,53,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Lemon,Fruit,230,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Pigeon Pea,Vegetable,96,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Tomato,Vegetable,82,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Papaya,Fruit,178,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dwarf Thyme,Herb/Medicinal,65,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Green Gram,Vegetable,76,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Parsley,Herb/Medicinal,130,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Garlic,Spice,184,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Sapota,Fruit,254,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Early-Maturing Potato,Vegetable,62,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cotton,Cash/Plantation,354,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cold-Tolerant Sapota,Fruit,310,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Ridge Gourd,Vegetable,58,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Mango,Fruit,277,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Early-Maturing Turmeric,Spice,263,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Local Strawberry,Fruit,90,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Cinnamon,Spice,128,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Heat-Tolerant Cauliflower,Vegetable,92,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Wheat,Grain,97,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Heat-Tolerant Fenugreek,Vegetable,56,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Wheat,Grain,160,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Local Tomato,Vegetable,53,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Sapota,Fruit,241,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Local Barley,Grain,121,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Kidney Bean,Vegetable,74,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Soybean,Oilseed,103,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
High-Yield Green Gram,Vegetable,88,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Rosemary,Herb/Medicinal,145,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Ginger,Spice,224,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cold-Tolerant Aloe Vera,Vegetable,54,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Horse Gram,Vegetable,65,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Guava,Fruit,282,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dwarf Parsley,Herb/Medicinal,37,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
French Bean,Vegetable,48,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Cocoa,Cash/Plantation,387,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Dwarf Spinach,Vegetable,52,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Barley,Grain,132,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Ginger,Spice,267,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Groundnut,Oilseed,108,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Bottle Gourd,Vegetable,66,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Gram,Vegetable,62,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rubber,Cash/Plantation,358,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Heat-Tolerant French Bean,Vegetable,120,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Gram,Vegetable,96,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Maize,Grain,128,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Mulberry,Fruit,359,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Oats,Grain,98,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Organic Cardamom,Spice,146,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Jute,Cash/Plantation,457,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cinnamon,Spice,272,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Snake Gourd,Vegetable,76,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Turmeric,Spice,159,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Sapota,Fruit,148,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Early-Maturing Guava,Fruit,252,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Garlic,Spice,137,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Potato,Vegetable,56,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Blueberry,Fruit,246,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Basil,Herb/Medicinal,80,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Garlic,Spice,256,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Guava,Fruit,268,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Mustard,Oilseed,106,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Bay Leaf,Vegetable,90,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Jute,Cash/Plantation,346,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Parsley,Herb/Medicinal,130,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Cotton,Cash/Plantation,480,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cold-Tolerant Soybean,Oilseed,151,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Tobacco,Cash/Plantation,515,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
High-Yield Strawberry,Fruit,312,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Cowpea,Pulse,154,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Carrot,Vegetable,97,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Bitter Gourd,Vegetable,102,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Finger Millet,Vegetable,115,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Oats,Grain,142,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Dwarf Pearl Millet,Vegetable,61,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dill,Herb/Medicinal,136,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Jute,Cash/Plantation,380,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Peas,Vegetable,61,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Ridge Gourd,Vegetable,58,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Banana,Fruit,252,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Organic Lemongrass,Herb/Medicinal,89,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Garlic,Spice,184,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Soybean,Oilseed,138,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Early-Maturing Maize,Grain,100,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant Mustard,Oilseed,118,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Fenugreek Seed,Vegetable,107,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Radish,Vegetable,67,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Clove,Spice,175,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Early-Maturing Garlic,Spice,146,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Hybrid Potato,Vegetable,73,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Turmeric,Spice,274,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cold-Tolerant Pigeon Pea,Vegetable,84,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Sapota,Fruit,254,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Apple,Fruit,321,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Apple,Fruit,338,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Jute,Cash/Plantation,415,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Late-Maturing Groundnut,Oilseed,108,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Mint,Herb/Medicinal,141,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Mulberry,Fruit,162,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Turmeric,Spice,200,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Bay Leaf,Vegetable,79,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Linseed,Oilseed,115,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Linseed,Oilseed,132,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant Cucumber,Vegetable,61,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Rubber,Cash/Plantation,303,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
